state_abbrev,state,time_zone,city,faa_designation,iata_designation,icao_designation,airport_name,nws_fcst_url
IL,Illinois,US/Central,Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,https://forecast.weather.gov/MapClick.php?lat=41.9745&lon=-87.8962&FcstType=digitalDWML
NY,New York,US/Eastern,New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),https://forecast.weather.gov/MapClick.php?lat=40.6398&lon=-73.7787&FcstType=digitalDWML
